,Chequings_Amount,Duration_Months,Credit_History,Purpose_Of_Loan,Loan_Amount,Savings_Amount,Employment_Status,Installment_Rate,Personal_Status_Sex,Other_Debtor_Guarantor,Resident_Since,Property_Type,Age,Other_Installments,Housing_Payment_Type,Number_Of_Loans,Job,Number_Of_Dependents,Own_Telephone,Foreign_Worker,Credit_Risk
159,no checking account,6,critical account or other credits existing not at this bank,television,1898,unknown or no savings account,1-4 years,1,male-single,none,2,real estate,34,none,own,2,unskilled,2,none,yes,1
160,no checking account,24,critical account or other credits existing not at this bank,television,2872,100-500,greater than 7 years,3,male-single,none,4,real estate,36,none,own,1,skilled employee,2,"yes, registered under the customer name",yes,1
161,no checking account,18,critical account or other credits existing not at this bank,new car,1055,less than 100,less than 1 year,4,female-divorced_married_or_single,none,1,life insurance,30,none,own,2,skilled employee,1,none,yes,1
162,no checking account,15,existing credits paid back duly till now,domestic appliances,1262,500-1000,4-7 years,4,male-single,none,3,life insurance,36,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
163,0-200,10,existing credits paid back duly till now,new car,7308,less than 100,unemployed,2,male-single,none,4,unknown,70,bank,for free,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
164,no checking account,36,existing credits paid back duly till now,new car,909,500-1000,greater than 7 years,4,male-single,none,4,life insurance,36,none,own,1,skilled employee,1,none,yes,1
165,no checking account,6,existing credits paid back duly till now,furniture,2978,500-1000,1-4 years,1,male-single,none,2,car or other,32,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
166,less than 0,18,existing credits paid back duly till now,furniture,1131,less than 100,unemployed,4,female-divorced_married_or_single,none,2,car or other,33,none,own,1,skilled employee,1,none,yes,2
167,0-200,11,existing credits paid back duly till now,furniture,1577,greater than 1000,less than 1 year,4,female-divorced_married_or_single,none,1,real estate,20,none,own,1,skilled employee,1,none,yes,1
168,no checking account,24,existing credits paid back duly till now,furniture,3972,less than 100,4-7 years,2,female-divorced_married_or_single,none,4,life insurance,25,none,rent,1,skilled employee,1,"yes, registered under the customer name",yes,1
169,0-200,24,critical account or other credits existing not at this bank,business,1935,less than 100,greater than 7 years,4,male-divorced,none,4,real estate,31,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,2
170,less than 0,15,no credits taken or all credits paid back duly,new car,950,less than 100,greater than 7 years,4,male-single,none,3,car or other,33,none,rent,2,skilled employee,2,none,yes,2
171,no checking account,12,existing credits paid back duly till now,furniture,763,less than 100,1-4 years,4,female-divorced_married_or_single,none,1,real estate,26,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
172,0-200,24,delay in paying off in the past,furniture,2064,less than 100,unemployed,3,female-divorced_married_or_single,none,2,life insurance,34,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
173,0-200,8,existing credits paid back duly till now,television,1414,less than 100,1-4 years,4,male-single,guarantor,2,real estate,33,none,own,1,skilled employee,1,none,no,1
174,less than 0,21,delay in paying off in the past,education,3414,less than 100,less than 1 year,2,male-single,none,1,life insurance,26,none,own,2,skilled employee,1,none,yes,2
175,no checking account,30,all credits at this bank paid back duly,used car,7485,unknown or no savings account,unemployed,4,female-divorced_married_or_single,none,1,real estate,53,bank,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
176,less than 0,12,existing credits paid back duly till now,furniture,2577,less than 100,1-4 years,2,male-divorced,none,1,car or other,42,none,own,1,skilled employee,1,none,yes,1
177,less than 0,6,critical account or other credits existing not at this bank,television,338,500-1000,greater than 7 years,4,male-single,none,4,car or other,52,none,own,2,skilled employee,1,none,yes,1
178,no checking account,12,existing credits paid back duly till now,television,1963,less than 100,4-7 years,4,male-single,none,2,car or other,31,none,rent,2,management or self-employed or officer,2,"yes, registered under the customer name",yes,1
179,less than 0,21,critical account or other credits existing not at this bank,new car,571,less than 100,greater than 7 years,4,male-single,none,4,real estate,65,none,own,2,skilled employee,1,none,yes,1
180,no checking account,36,delay in paying off in the past,business,9572,less than 100,less than 1 year,1,male-divorced,none,1,car or other,28,none,own,2,skilled employee,1,none,yes,2
181,0-200,36,delay in paying off in the past,business,4455,less than 100,1-4 years,2,male-divorced,none,2,real estate,30,stores,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
182,less than 0,21,all credits at this bank paid back duly,new car,1647,unknown or no savings account,1-4 years,4,male-single,none,2,life insurance,40,none,own,2,unskilled,2,none,yes,2
183,no checking account,24,critical account or other credits existing not at this bank,furniture,3777,greater than 1000,1-4 years,4,male-single,none,4,real estate,50,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
184,0-200,18,critical account or other credits existing not at this bank,new car,884,less than 100,greater than 7 years,4,male-single,none,4,car or other,36,bank,own,1,skilled employee,2,"yes, registered under the customer name",yes,2
185,no checking account,15,critical account or other credits existing not at this bank,television,1360,less than 100,1-4 years,4,male-single,none,2,life insurance,31,none,own,2,skilled employee,1,none,yes,1
186,0-200,9,all credits at this bank paid back duly,used car,5129,less than 100,greater than 7 years,2,female-divorced_married_or_single,none,4,unknown,74,bank,for free,1,management or self-employed or officer,2,"yes, registered under the customer name",yes,2
187,0-200,16,critical account or other credits existing not at this bank,new car,1175,less than 100,unemployed,2,male-single,none,3,car or other,68,none,for free,3,unemployed,1,"yes, registered under the customer name",yes,1
188,less than 0,12,existing credits paid back duly till now,television,674,100-500,4-7 years,4,male-married_widowed,none,1,life insurance,20,none,own,1,skilled employee,1,none,yes,2
189,0-200,18,no credits taken or all credits paid back duly,furniture,3244,less than 100,1-4 years,1,female-divorced_married_or_single,none,4,car or other,33,bank,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
190,no checking account,24,existing credits paid back duly till now,business,4591,greater than 1000,1-4 years,2,male-single,none,3,life insurance,54,none,own,3,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
191,0-200,48,no credits taken or all credits paid back duly,business,3844,100-500,4-7 years,4,male-single,none,4,unknown,34,none,for free,1,unskilled,2,none,yes,2
192,0-200,27,existing credits paid back duly till now,business,3915,less than 100,1-4 years,4,male-single,none,2,car or other,36,none,own,1,skilled employee,2,"yes, registered under the customer name",yes,2
193,no checking account,6,existing credits paid back duly till now,television,2108,less than 100,4-7 years,2,male-married_widowed,none,2,real estate,29,none,rent,1,skilled employee,1,none,yes,1
194,0-200,45,existing credits paid back duly till now,television,3031,100-500,1-4 years,4,male-single,guarantor,4,life insurance,21,none,rent,1,skilled employee,1,none,yes,2
195,0-200,9,critical account or other credits existing not at this bank,education,1501,less than 100,greater than 7 years,2,female-divorced_married_or_single,none,3,car or other,34,none,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
196,no checking account,6,critical account or other credits existing not at this bank,television,1382,less than 100,1-4 years,1,female-divorced_married_or_single,none,1,car or other,28,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
197,0-200,12,existing credits paid back duly till now,furniture,951,100-500,less than 1 year,4,female-divorced_married_or_single,none,4,car or other,27,bank,rent,4,skilled employee,1,none,yes,2
198,0-200,24,existing credits paid back duly till now,used car,2760,unknown or no savings account,greater than 7 years,4,male-single,none,4,unknown,36,bank,for free,1,skilled employee,1,"yes, registered under the customer name",yes,1
199,0-200,18,delay in paying off in the past,furniture,4297,less than 100,greater than 7 years,4,male-divorced,none,3,unknown,40,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
200,no checking account,9,critical account or other credits existing not at this bank,education,936,500-1000,greater than 7 years,4,male-single,none,2,car or other,52,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
201,less than 0,12,existing credits paid back duly till now,new car,1168,less than 100,1-4 years,4,male-married_widowed,none,3,real estate,27,none,own,1,unskilled,1,none,yes,1
202,no checking account,27,delay in paying off in the past,business,5117,less than 100,4-7 years,3,male-single,none,4,car or other,26,none,own,2,skilled employee,1,none,yes,1
203,less than 0,12,existing credits paid back duly till now,retraining,902,less than 100,4-7 years,4,male-married_widowed,none,4,life insurance,21,none,rent,1,skilled employee,1,none,yes,2
204,no checking account,12,critical account or other credits existing not at this bank,new car,1495,less than 100,greater than 7 years,4,male-single,none,1,real estate,38,none,own,2,unskilled,2,none,yes,1
205,less than 0,30,critical account or other credits existing not at this bank,used car,10623,less than 100,greater than 7 years,3,male-single,none,4,unknown,38,none,for free,3,management or self-employed or officer,2,"yes, registered under the customer name",yes,1
